N_Jobs_Total: 144
Starting optimization with optimizer DiffEvoOpt{FitPopulation{Float64}, RadiusLimitedSelector, BlackBoxOptim.AdaptiveDiffEvoRandBin{3}, RandomBound{ContinuousRectSearchSpace}}
0.00 secs, 0 evals, 0 steps
9889.49 secs, 152 evals, 100 steps, improv/step: 0.550 (last = 1.0000), fitness=1.024378136
10032.40 secs, 154 evals, 101 steps, improv/step: 0.545 (last = 0.0000), fitness=1.024378136
10152.55 secs, 156 evals, 102 steps, improv/step: 0.539 (last = 0.0000), fitness=1.024378136
10219.83 secs, 157 evals, 103 steps, improv/step: 0.544 (last = 1.0000), fitness=1.024378136
10374.53 secs, 159 evals, 104 steps, improv/step: 0.548 (last = 1.0000), fitness=1.024378136
10405.48 secs, 160 evals, 105 steps, improv/step: 0.552 (last = 1.0000), fitness=0.791641236
10441.47 secs, 161 evals, 106 steps, improv/step: 0.547 (last = 0.0000), fitness=0.791641236
10508.74 secs, 162 evals, 107 steps, improv/step: 0.542 (last = 0.0000), fitness=0.791641236
10532.65 secs, 163 evals, 108 steps, improv/step: 0.537 (last = 0.0000), fitness=0.791641236
10608.59 secs, 164 evals, 109 steps, improv/step: 0.541 (last = 1.0000), fitness=0.791641236
10633.87 secs, 165 evals, 110 steps, improv/step: 0.545 (last = 1.0000), fitness=0.791641236
10693.48 secs, 166 evals, 111 steps, improv/step: 0.541 (last = 0.0000), fitness=0.791641236
10744.87 secs, 167 evals, 112 steps, improv/step: 0.545 (last = 1.0000), fitness=0.791641236

Optimization stopped after 113 steps and 10816.27 seconds
Termination reason: Max time (10800.0 s) reached
Steps per second = 0.01
Function evals per second = 0.02
Improvements/step = Inf
Total function evaluations = 168


Best candidate found: [0.0696297, 0.670564]

Fitness: 0.791641236

