N_Jobs_Total: 144
Starting optimization with optimizer DiffEvoOpt{FitPopulation{Float64}, RadiusLimitedSelector, BlackBoxOptim.AdaptiveDiffEvoRandBin{3}, RandomBound{ContinuousRectSearchSpace}}
0.00 secs, 0 evals, 0 steps
92.11 secs, 2 evals, 1 steps, fitness=4.718803053
167.67 secs, 4 evals, 2 steps, fitness=4.718803053
234.13 secs, 6 evals, 3 steps, fitness=4.718803053
332.21 secs, 8 evals, 4 steps, fitness=4.718803053
426.97 secs, 10 evals, 5 steps, fitness=4.718803053
519.13 secs, 12 evals, 6 steps, fitness=4.718803053
604.31 secs, 14 evals, 7 steps, fitness=4.718803053
702.46 secs, 16 evals, 8 steps, fitness=4.718803053
797.41 secs, 18 evals, 9 steps, fitness=4.718803053
886.31 secs, 20 evals, 10 steps, fitness=4.718803053
7346.84 secs, 170 evals, 96 steps, improv/step: 0.396 (last = 0.0000), fitness=1.750759214
7395.13 secs, 171 evals, 97 steps, improv/step: 0.392 (last = 0.0000), fitness=1.750759214
7433.76 secs, 172 evals, 98 steps, improv/step: 0.398 (last = 1.0000), fitness=1.750759214
7480.51 secs, 173 evals, 99 steps, improv/step: 0.404 (last = 1.0000), fitness=1.750759214
7529.50 secs, 174 evals, 100 steps, improv/step: 0.400 (last = 0.0000), fitness=1.750759214
7600.02 secs, 176 evals, 101 steps, improv/step: 0.396 (last = 0.0000), fitness=1.750759214
7691.43 secs, 178 evals, 102 steps, improv/step: 0.402 (last = 1.0000), fitness=1.750759214
7735.81 secs, 179 evals, 103 steps, improv/step: 0.408 (last = 1.0000), fitness=1.750759214
7784.14 secs, 180 evals, 104 steps, improv/step: 0.404 (last = 0.0000), fitness=1.750759214
7880.67 secs, 182 evals, 105 steps, improv/step: 0.400 (last = 0.0000), fitness=1.750759214
7965.25 secs, 184 evals, 106 steps, improv/step: 0.406 (last = 1.0000), fitness=1.750759214
8008.06 secs, 185 evals, 107 steps, improv/step: 0.402 (last = 0.0000), fitness=1.750759214
8097.65 secs, 187 evals, 108 steps, improv/step: 0.398 (last = 0.0000), fitness=1.750759214
8138.76 secs, 188 evals, 109 steps, improv/step: 0.404 (last = 1.0000), fitness=1.750759214
8182.03 secs, 189 evals, 110 steps, improv/step: 0.400 (last = 0.0000), fitness=1.750759214
8210.73 secs, 190 evals, 111 steps, improv/step: 0.396 (last = 0.0000), fitness=1.750759214
8244.55 secs, 191 evals, 112 steps, improv/step: 0.393 (last = 0.0000), fitness=1.750759214
8293.58 secs, 192 evals, 113 steps, improv/step: 0.389 (last = 0.0000), fitness=1.750759214
8389.60 secs, 194 evals, 114 steps, improv/step: 0.386 (last = 0.0000), fitness=1.750759214
8484.93 secs, 196 evals, 115 steps, improv/step: 0.391 (last = 1.0000), fitness=1.750759214
8526.97 secs, 197 evals, 116 steps, improv/step: 0.397 (last = 1.0000), fitness=1.650495096
8573.12 secs, 198 evals, 117 steps, improv/step: 0.402 (last = 1.0000), fitness=1.650495096
8663.44 secs, 200 evals, 118 steps, improv/step: 0.407 (last = 1.0000), fitness=1.650495096
8712.80 secs, 201 evals, 119 steps, improv/step: 0.403 (last = 0.0000), fitness=1.650495096
