N_Jobs_Total: 144
Starting optimization with optimizer DiffEvoOpt{FitPopulation{Float64}, RadiusLimitedSelector, BlackBoxOptim.AdaptiveDiffEvoRandBin{3}, RandomBound{ContinuousRectSearchSpace}}
0.00 secs, 0 evals, 0 steps
19.50 secs, 2 evals, 1 steps, fitness=3.559071134
1951.36 secs, 181 evals, 109 steps, improv/step: 0.431 (last = 0.0000), fitness=1.527855177
1963.44 secs, 182 evals, 110 steps, improv/step: 0.427 (last = 0.0000), fitness=1.527855177
1975.08 secs, 183 evals, 111 steps, improv/step: 0.423 (last = 0.0000), fitness=1.527855177
1983.49 secs, 184 evals, 112 steps, improv/step: 0.420 (last = 0.0000), fitness=1.527855177
1993.48 secs, 185 evals, 113 steps, improv/step: 0.416 (last = 0.0000), fitness=1.527855177
2002.75 secs, 186 evals, 114 steps, improv/step: 0.421 (last = 1.0000), fitness=1.527855177
2015.17 secs, 187 evals, 115 steps, improv/step: 0.417 (last = 0.0000), fitness=1.527855177
2025.49 secs, 188 evals, 116 steps, improv/step: 0.414 (last = 0.0000), fitness=1.527855177
2035.56 secs, 189 evals, 117 steps, improv/step: 0.410 (last = 0.0000), fitness=1.527855177
2047.13 secs, 190 evals, 118 steps, improv/step: 0.415 (last = 1.0000), fitness=1.527855177
2064.80 secs, 192 evals, 119 steps, improv/step: 0.420 (last = 1.0000), fitness=1.527855177
2087.90 secs, 194 evals, 120 steps, improv/step: 0.417 (last = 0.0000), fitness=1.527855177
2098.03 secs, 195 evals, 121 steps, improv/step: 0.421 (last = 1.0000), fitness=1.527855177
2121.49 secs, 197 evals, 122 steps, improv/step: 0.426 (last = 1.0000), fitness=1.527855177
2131.95 secs, 198 evals, 123 steps, improv/step: 0.431 (last = 1.0000), fitness=1.527855177
2142.39 secs, 199 evals, 124 steps, improv/step: 0.435 (last = 1.0000), fitness=1.527855177
2160.82 secs, 201 evals, 125 steps, improv/step: 0.432 (last = 0.0000), fitness=1.527855177
2173.17 secs, 202 evals, 126 steps, improv/step: 0.429 (last = 0.0000), fitness=1.527855177
2185.21 secs, 203 evals, 127 steps, improv/step: 0.425 (last = 0.0000), fitness=1.527855177
2196.27 secs, 204 evals, 128 steps, improv/step: 0.422 (last = 0.0000), fitness=1.527855177
2207.90 secs, 205 evals, 129 steps, improv/step: 0.419 (last = 0.0000), fitness=1.527855177
2230.46 secs, 207 evals, 130 steps, improv/step: 0.423 (last = 1.0000), fitness=1.527855177
2242.25 secs, 208 evals, 131 steps, improv/step: 0.420 (last = 0.0000), fitness=1.527855177
2254.58 secs, 209 evals, 132 steps, improv/step: 0.417 (last = 0.0000), fitness=1.527855177
2264.02 secs, 210 evals, 133 steps, improv/step: 0.421 (last = 1.0000), fitness=1.527855177
2275.95 secs, 211 evals, 134 steps, improv/step: 0.418 (last = 0.0000), fitness=1.527855177
2299.75 secs, 213 evals, 135 steps, improv/step: 0.415 (last = 0.0000), fitness=1.527855177
2311.66 secs, 214 evals, 136 steps, improv/step: 0.412 (last = 0.0000), fitness=1.527855177
2323.87 secs, 215 evals, 137 steps, improv/step: 0.409 (last = 0.0000), fitness=1.527855177
2332.10 secs, 216 evals, 138 steps, improv/step: 0.406 (last = 0.0000), fitness=1.527855177
2344.34 secs, 217 evals, 139 steps, improv/step: 0.403 (last = 0.0000), fitness=1.527855177
2353.46 secs, 218 evals, 140 steps, improv/step: 0.407 (last = 1.0000), fitness=1.527855177
2359.40 secs, 219 evals, 141 steps, improv/step: 0.404 (last = 0.0000), fitness=1.527855177
2365.65 secs, 220 evals, 142 steps, improv/step: 0.401 (last = 0.0000), fitness=1.527855177
2389.58 secs, 222 evals, 143 steps, improv/step: 0.399 (last = 0.0000), fitness=1.527855177
2413.06 secs, 224 evals, 144 steps, improv/step: 0.396 (last = 0.0000), fitness=1.527855177
2422.94 secs, 225 evals, 145 steps, improv/step: 0.393 (last = 0.0000), fitness=1.527855177
